Name,Date,Market_Cap
 HedgeTrade ,"Aug 19, 2019","245,017,577"
 HedgeTrade ,"Aug 18, 2019","231,418,874"
 HedgeTrade ,"Aug 17, 2019","237,076,084"
 HedgeTrade ,"Aug 16, 2019","229,908,022"
 HedgeTrade ,"Aug 15, 2019","233,231,660"
 HedgeTrade ,"Aug 14, 2019","226,782,525"
 HedgeTrade ,"Aug 13, 2019","251,734,170"
 HedgeTrade ,"Aug 12, 2019","261,492,059"
 HedgeTrade ,"Aug 11, 2019","257,642,054"
 HedgeTrade ,"Aug 10, 2019","250,198,227"
 HedgeTrade ,"Aug 09, 2019","255,216,815"
 HedgeTrade ,"Aug 08, 2019","263,248,096"
 HedgeTrade ,"Aug 07, 2019","274,912,036"
 HedgeTrade ,"Aug 06, 2019","264,973,158"
 HedgeTrade ,"Aug 05, 2019","271,654,054"
 HedgeTrade ,"Aug 04, 2019","264,408,321"
 HedgeTrade ,"Aug 03, 2019","258,459,987"
 HedgeTrade ,"Aug 02, 2019","248,279,605"
 HedgeTrade ,"Aug 01, 2019","242,526,781"
 HedgeTrade ,"Jul 31, 2019","240,879,225"
 HedgeTrade ,"Jul 30, 2019","224,705,907"
 HedgeTrade ,"Jul 29, 2019","222,436,438"
 HedgeTrade ,"Jul 28, 2019","219,972,098"
 HedgeTrade ,"Jul 27, 2019","219,258,448"
 HedgeTrade ,"Jul 26, 2019","225,372,506"
 HedgeTrade ,"Jul 25, 2019","229,481,794"
 HedgeTrade ,"Jul 24, 2019","226,072,360"
 HedgeTrade ,"Jul 23, 2019","225,518,887"
 HedgeTrade ,"Jul 22, 2019","236,793,350"
 HedgeTrade ,"Jul 21, 2019","199,362,886"
 HedgeTrade ,"Jul 20, 2019","201,321,394"
 HedgeTrade ,"Jul 19, 2019","187,318,427"
 HedgeTrade ,"Jul 18, 2019","187,694,370"
 HedgeTrade ,"Jul 17, 2019","180,222,283"
 HedgeTrade ,"Jul 16, 2019","176,225,348"
 HedgeTrade ,"Jul 15, 2019","183,626,662"
 HedgeTrade ,"Jul 14, 2019","187,044,809"
 HedgeTrade ,"Jul 13, 2019","202,577,387"
 HedgeTrade ,"Jul 12, 2019","213,118,999"
 HedgeTrade ,"Jul 11, 2019","198,853,585"
 HedgeTrade ,"Jul 10, 2019","212,499,486"
 HedgeTrade ,"Jul 09, 2019","223,208,459"
 HedgeTrade ,"Jul 08, 2019","215,215,869"
 HedgeTrade ,"Jul 07, 2019","210,489,213"
 HedgeTrade ,"Jul 06, 2019","204,766,644"
